459,,2439705,CBS Theatrical Films
460,,6857733,Metrocolor
461,,,Star Cinema
462,,2314561,Gaylord Productions
463,,,K.G. Productions
464,,108128,Jennie and Company
465,100000,,
466,,16156776,Columbia Pictures
467,3000000,,Force Productions
468,50000,26177,Charles Burnett Productions
469,,,Lantana
470,,,
471,2500000,,Filmline Productions
472,3000,,Pirromount Pictures
473,,,Channel Four Films
474,,6666725,The Samuel Goldwyn Company
475,323562,,CTV
476,6400000,78371200,Cinema '84
477,40000000,30925690,Dino De Laurentiis Company
478,30000000,296187079,Columbia Pictures
479,8000000,91119319,Columbia Pictures
480,30000000,5473212,The Ladd Company
481,4500000,81198894,The Ladd Company
482,28000000,333107271,Paramount Pictures
483,10000000,8801940,Columbia Pictures
484,1800000,25507137,New Line Cinema
485,18000000,52066791,AMLF
486,14000000,316360478,Paramount Pictures
487,17000000,38376497,United Artists
488,27000000,20251411,Constantin Film
489,8200000,80039064,Paramount Pictures
490,8000000,40874452,Twentieth Century Fox
491,11000000,153633143,Warner Bros.
492,10000000,86572238,Twentieth Century Fox
493,14500000,8089290,Universal Pictures
494,6500000,23686027,Universal Pictures
495,,2207548,Road Movies Filmproduktion
496,2500000,4736202,Spinal Tap Prod.
497,,8430492,Virgin
498,9000000,20458340,Kingsmere Properties
499,18000000,31042035,Dino De Laurentiis Company
500,800000,14568989,Hal Roach Studios
501,15000000,28733290,Lorimar Film Entertainment
502,8000000,69821334,Touchstone Pictures
503,1500000,4228292,River Road Productions
504,28000000,47951979,TriStar Pictures
505,5000000,38435947,Bachelor Party Productions
506,1000000,8736506,Nibariki
507,2600000,32980880,Paramount Pictures
508,,7121719,Chroma III Productions
509,13000000,21689062,Columbia Pictures
510,35000000,14296438,Artistry Limited
511,25000000,8613462,Dino De Laurentiis Company
512,15000000,17080167,Dino De Laurentiis Company
513,1250000,4654423,C.H.U.D. Productions
514,9000000,25348610,Orion Pictures
515,,6770587,TriStar Pictures
516,,6254148,Sherwood Productions
517,17000000,76471046,Paramount Pictures
518,1500000,129000,Edge City Productions
519,28000000,40400657,Metro-Goldwyn-Mayer (MGM)
520,14400000,34700291,Goldcrest Films International
521,58000000,25928721,Zoetrope Studios
522,22000000,28744356,Columbia Pictures
523,700000,14418922,Atlantic Entertainment Group
524,,18644570,Sherwood Productions
525,,12145169,Zupnik-Curtis Enterprises
526,,2912945,New World Pictures
527,21000000,8103330,New World Pictures
528,,34901614,Delphi II Productions
529,7000000,8914881,City Films
530,20000000,28078073,Arcafin B.V.
531,90000,2436000,Cinesthesia Productions
532,9000000,14255801,Metro-Goldwyn-Mayer (MGM)
533,16000000,27201487,EMI Films
534,7200000,70263155,Warner Bros.
535,7500000,5142858,Filmline Productions
536,,876775,Zenith Entertainment
537,25000000,5778353,Colgems Productions Ltd.
538,2550000,22812411,The Cannon Group
539,30000000,45858563,Warner Bros.
540,,25534703,Henson Associates (HA)
541,,11020375,Universal Pictures
542,12000000,11129057,Paramount Pictures
543,,1337274,Films de L'Alma
544,,38682707,Golan-Globus Productions
545,12000000,1455045,A&M Films
546,2000000,4389334,Incorporated Television Company (ITC)
547,5500000,,Empire Pictures
548,,2193612,Virgin
549,,,Universal Pictures
550,6500000,6045647,Jaffe-Lansing
551,1065000,2491460,TriStar Pictures
552,8000000,6836201,United Artists
553,,36403064,Kings Road Entertainment
554,,4743119,CBS Theatrical Films
555,,10530000,Incorporated Television Company (ITC)
556,,8289916,Edgar J. Scherick Associates
557,,48143579,The Malpaso Company
